AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status Desc,Hour,DayOfWeek,IsWeekend,TimeOfDay,IsNight,TimeToReport_Hours,Occ_Month,Has_Cross_Street_np,Location_Cluster,Hour_Sin,Hour_Cos
Wilshire,BATTERY - SIMPLE ASSAULT,58,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,17,Sunday,1,Afternoon,0,0.0,8,0,12,-0.9659258262890683,-0.25881904510252063
Central,BURGLARY,41,M,W,STORAGE SHED,undefined,Invest Cont,12,Wednesday,0,Afternoon,0,0.0,4,0,9,1.2246467991473532e-16,-1.0
West Valley,VIOLATION OF COURT ORDER,51,M,H,SINGLE FAMILY DWELLING,undefined,Adult Other,15,Monday,0,Afternoon,0,0.0,4,0,3,-0.7071067811865471,-0.7071067811865479
Southwest,BATTERY - SIMPLE ASSAULT,57,F,H,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,7,Friday,0,Morning,0,0.0,6,0,0,0.9659258262890683,-0.25881904510252063
Mission,VIOLATION OF RESTRAINING ORDER,42,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,20,Tuesday,0,Evening,0,0.0,1,0,19,-0.8660254037844386,0.5000000000000001
N Hollywood,BURGLARY,0,M,O,RESTAURANT/FAST FOOD,undefined,Invest Cont,1,Sunday,1,Night,1,24.0,6,0,8,0.25881904510252074,0.9659258262890683
Topanga,INTIMATE PARTNER - AGGRAVATED ASSAULT,46,F,W,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,2,Saturday,1,Night,1,0.0,6,0,16,0.49999999999999994,0.8660254037844387
N Hollywood,BATTERY - SIMPLE ASSAULT,25,M,H,MTA - RED LINE - NORTH HOLLYWOOD,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,5,Tuesday,0,Night,1,0.0,6,0,8,0.9659258262890683,0.25881904510252074
Central,VIOLATION OF RESTRAINING ORDER,31,F,B,SIDEWALK,undefined,Invest Cont,2,Wednesday,0,Night,1,0.0,9,1,9,0.49999999999999994,0.8660254037844387
Newton,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",35,F,H,PATIO*,undefined,Invest Cont,14,Thursday,0,Afternoon,0,192.0,4,0,9,-0.4999999999999997,-0.8660254037844388
Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,O,OTHER/OUTSIDE,undefined,Invest Cont,4,Sunday,1,Night,1,0.0,2,0,4,0.8660254037844386,0.5000000000000001
Rampart,"RAPE, ATTEMPTED",29,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,17,Wednesday,0,Afternoon,0,552.0,1,0,9,-0.9659258262890683,-0.25881904510252063
Central,BIKE - STOLEN,23,M,H,GARAGE/CARPORT,undefined,Invest Cont,23,Wednesday,0,Night,1,72.0,3,0,9,-0.25881904510252157,0.9659258262890681
Wilshire,SHOPLIFTING - PETTY THEFT ($950 & UNDER),0,M,O,OTHER BUSINESS,undefined,Invest Cont,14,Saturday,1,Afternoon,0,0.0,11,0,12,-0.4999999999999997,-0.8660254037844388
Pacific,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",53,F,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,15,Wednesday,0,Afternoon,0,0.0,3,1,18,-0.7071067811865471,-0.7071067811865479
Foothill,THEFT PLAIN - PETTY ($950 & UNDER),40,M,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,10,Sunday,1,Morning,0,48.0,12,0,17,0.49999999999999994,-0.8660254037844387
Devonshire,"EMBEZZLEMENT, GRAND THEFT ($950.01 & OVER)",70,M,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,0,Sunday,1,Night,1,20928.0,11,0,15,0.0,1.0
Rampart,THEFT PLAIN - PETTY ($950 & UNDER),54,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,21,Thursday,0,Evening,0,144.0,4,0,6,-0.7071067811865477,0.7071067811865474
77th Street,VIOLATION OF COURT ORDER,36,F,H,SINGLE FAMILY DWELLING,undefined,Adult Other,11,Sunday,1,Morning,0,24.0,8,0,0,0.258819045102521,-0.9659258262890682
Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),36,M,W,STREET,undefined,Invest Cont,17,Friday,0,Afternoon,0,72.0,7,0,14,-0.9659258262890683,-0.25881904510252063
Harbor,CRIMINAL THREATS - NO WEAPON DISPLAYED,44,M,B,SINGLE FAMILY DWELLING,VERBAL THREAT,Invest Cont,19,Friday,0,Evening,0,24.0,12,0,5,-0.9659258262890684,0.2588190451025203
Mission,BRANDISH WEAPON,21,M,B,SIDEWALK,FOLDING KNIFE,Adult Other,0,Tuesday,0,Night,1,0.0,3,1,15,0.0,1.0
Mission,INTIMATE PARTNER - AGGRAVATED ASSAULT,32,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,23,Wednesday,0,Night,1,24.0,10,0,2,-0.25881904510252157,0.9659258262890681
Topanga,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),49,F,O,STREET,undefined,Invest Cont,14,Tuesday,0,Afternoon,0,24.0,2,0,7,-0.4999999999999997,-0.8660254037844388
Wilshire,VIOLATION OF RESTRAINING ORDER,26,F,B,SIDEWALK,undefined,Adult Other,1,Monday,0,Night,1,0.0,11,0,12,0.25881904510252074,0.9659258262890683
Van Nuys,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",30,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",OTHER CUTTING INSTRUMENT,Adult Other,6,Wednesday,0,Morning,0,0.0,9,0,11,1.0,6.123233995736766e-17
Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",43,M,A,"VEHICLE, PASSENGER/TRUCK",undefined,Invest Cont,7,Tuesday,0,Morning,0,24.0,11,0,0,0.9659258262890683,-0.25881904510252063
Harbor,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",33,M,H,SIDEWALK,KNIFE WITH BLADE OVER 6 INCHES IN LENGTH,Adult Arrest,13,Friday,0,Afternoon,0,0.0,5,1,5,-0.2588190451025208,-0.9659258262890683
Olympic,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",34,M,H,YARD (RESIDENTIAL/BUSINESS),MACHETE,Adult Arrest,0,Saturday,1,Night,1,0.0,8,0,6,0.0,1.0
West LA,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",62,M,W,STREET,BLUNT INSTRUMENT,Adult Arrest,12,Monday,0,Afternoon,0,0.0,1,0,12,1.2246467991473532e-16,-1.0
Southeast,BATTERY - SIMPLE ASSAULT,35,F,B,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,12,Tuesday,0,Afternoon,0,0.0,10,0,13,1.2246467991473532e-16,-1.0
Southeast,SHOTS FIRED AT INHABITED DWELLING,53,F,H,SINGLE FAMILY DWELLING,SEMI-AUTOMATIC PISTOL,Invest Cont,19,Sunday,1,Evening,0,0.0,7,0,13,-0.9659258262890684,0.2588190451025203
Mission,INTIMATE PARTNER - SIMPLE ASSAULT,50,F,W,PARKING LOT,BLUNT INSTRUMENT,Invest Cont,3,Monday,0,Night,1,0.0,12,0,15,0.7071067811865476,0.7071067811865476
Topanga,INTIMATE PARTNER - SIMPLE ASSAULT,26,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,16,Monday,0,Afternoon,0,0.0,7,1,16,-0.8660254037844385,-0.5000000000000004
Devonshire,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),25,M,W,STREET,undefined,Invest Cont,16,Friday,0,Afternoon,0,0.0,5,0,7,-0.8660254037844385,-0.5000000000000004
Olympic,BATTERY - SIMPLE ASSAULT,30,M,H,OTHER BUSINESS,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,20,Tuesday,0,Evening,0,24.0,10,0,6,-0.8660254037844386,0.5000000000000001
Mission,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",56,F,H,SINGLE FAMILY DWELLING,undefined,Adult Other,22,Sunday,1,Night,1,600.0,5,0,11,-0.5000000000000004,0.8660254037844384
Devonshire,BATTERY - SIMPLE ASSAULT,46,F,H,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,15,Saturday,1,Afternoon,0,0.0,4,0,7,-0.7071067811865471,-0.7071067811865479
N Hollywood,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),28,M,O,GARAGE/CARPORT,undefined,Invest Cont,12,Sunday,1,Afternoon,0,0.0,11,0,8,1.2246467991473532e-16,-1.0
Wilshire,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",44,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,16,Saturday,1,Afternoon,0,168.0,3,0,12,-0.8660254037844385,-0.5000000000000004
Devonshire,INTIMATE PARTNER - SIMPLE ASSAULT,36,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,23,Thursday,0,Night,1,24.0,8,0,15,-0.25881904510252157,0.9659258262890681
Southeast,INTIMATE PARTNER - SIMPLE ASSAULT,27,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,14,Wednesday,0,Afternoon,0,0.0,7,0,13,-0.4999999999999997,-0.8660254037844388
Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",28,F,O,SIDEWALK,undefined,Invest Cont,14,Friday,0,Afternoon,0,24.0,6,1,4,-0.4999999999999997,-0.8660254037844388
West Valley,BURGLARY FROM VEHICLE,27,F,H,PARKING LOT,undefined,Invest Cont,8,Friday,0,Morning,0,240.0,7,0,7,0.8660254037844387,-0.4999999999999998
Devonshire,THEFT PLAIN - PETTY ($950 & UNDER),47,M,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,15,Tuesday,0,Afternoon,0,0.0,5,0,15,-0.7071067811865471,-0.7071067811865479
Hollywood,OTHER MISCELLANEOUS CRIME,32,M,B,STREET,undefined,Invest Cont,11,Monday,0,Morning,0,0.0,8,1,6,0.258819045102521,-0.9659258262890682
Southwest,TRESPASSING,57,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,9,Thursday,0,Morning,0,0.0,4,0,12,0.7071067811865476,-0.7071067811865475
Rampart,CRIMINAL THREATS - NO WEAPON DISPLAYED,36,M,W,STREET,VERBAL THREAT,Invest Cont,16,Saturday,1,Afternoon,0,24.0,5,0,9,-0.8660254037844385,-0.5000000000000004
Pacific,THEFT PLAIN - PETTY ($950 & UNDER),43,M,W,"PORCH, RESIDENTIAL",undefined,Invest Cont,21,Wednesday,0,Evening,0,0.0,4,0,18,-0.7071067811865477,0.7071067811865474
Topanga,THEFT OF IDENTITY,37,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,11,Tuesday,0,Morning,0,1728.0,3,0,16,0.258819045102521,-0.9659258262890682
West LA,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",0,M,O,OTHER BUSINESS,undefined,Invest Cont,21,Sunday,1,Evening,0,0.0,1,0,10,-0.7071067811865477,0.7071067811865474
Hollywood,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,W,STREET,undefined,Invest Cont,11,Wednesday,0,Morning,0,24.0,8,0,6,0.258819045102521,-0.9659258262890682
Southeast,INTIMATE PARTNER - SIMPLE ASSAULT,40,F,H,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,10,Sunday,1,Morning,0,0.0,3,0,13,0.49999999999999994,-0.8660254037844387
Southeast,VIOLATION OF RESTRAINING ORDER,30,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Adult Other,15,Tuesday,0,Afternoon,0,0.0,5,0,13,-0.7071067811865471,-0.7071067811865479
77th Street,INTIMATE PARTNER - SIMPLE ASSAULT,46,M,W,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,12,Thursday,0,Afternoon,0,0.0,7,0,1,1.2246467991473532e-16,-1.0
Wilshire,VANDALISM - MISDEAMEANOR ($399 OR UNDER),55,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,17,Friday,0,Afternoon,0,24.0,1,0,6,-0.9659258262890683,-0.25881904510252063
Southeast,BATTERY - SIMPLE ASSAULT,37,F,B,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,11,Monday,0,Morning,0,0.0,3,0,13,0.258819045102521,-0.9659258262890682
Southeast,BURGLARY,42,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,8,Friday,0,Morning,0,336.0,1,0,13,0.8660254037844387,-0.4999999999999998
N Hollywood,"BUNCO, GRAND THEFT",73,M,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,8,Thursday,0,Morning,0,3120.0,6,0,8,0.8660254037844387,-0.4999999999999998
Foothill,THEFT OF IDENTITY,35,F,O,SINGLE FAMILY DWELLING,undefined,Invest Cont,12,Saturday,1,Afternoon,0,0.0,12,0,19,1.2246467991473532e-16,-1.0
Foothill,"RAPE, FORCIBLE",48,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,8,Saturday,1,Morning,0,48.0,1,0,19,0.8660254037844387,-0.4999999999999998
West Valley,INTIMATE PARTNER - SIMPLE ASSAULT,33,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,9,Monday,0,Morning,0,0.0,1,0,3,0.7071067811865476,-0.7071067811865475
Wilshire,BURGLARY FROM VEHICLE,32,M,W,STREET,undefined,Invest Cont,3,Saturday,1,Night,1,48.0,4,1,12,0.7071067811865476,0.7071067811865476
Central,INTIMATE PARTNER - SIMPLE ASSAULT,31,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,12,Wednesday,0,Afternoon,0,0.0,6,0,9,1.2246467991473532e-16,-1.0
Southwest,BRANDISH WEAPON,51,F,B,SIDEWALK,AXE,Adult Arrest,23,Thursday,0,Night,1,0.0,8,1,12,-0.25881904510252157,0.9659258262890681
Pacific,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",44,F,B,STREET,undefined,Invest Cont,21,Thursday,0,Evening,0,0.0,1,0,4,-0.7071067811865477,0.7071067811865474
West LA,CRIMINAL THREATS - NO WEAPON DISPLAYED,34,F,A,SIDEWALK,VERBAL THREAT,Invest Cont,12,Monday,0,Afternoon,0,0.0,12,1,10,1.2246467991473532e-16,-1.0
West LA,BURGLARY FROM VEHICLE,28,F,W,GARAGE/CARPORT,undefined,Invest Cont,16,Tuesday,0,Afternoon,0,24.0,8,0,10,-0.8660254037844385,-0.5000000000000004
Hollywood,BATTERY - SIMPLE ASSAULT,37,F,A,RESTAURANT/FAST FOOD,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,14,Wednesday,0,Afternoon,0,0.0,5,0,6,-0.4999999999999997,-0.8660254037844388
Harbor,BURGLARY,0,M,O,OTHER BUSINESS,undefined,Invest Cont,15,Sunday,1,Afternoon,0,24.0,6,0,13,-0.7071067811865471,-0.7071067811865479
Wilshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),31,M,W,STREET,undefined,Invest Cont,1,Thursday,0,Night,1,24.0,7,0,6,0.25881904510252074,0.9659258262890683
Foothill,"BUNCO, GRAND THEFT",84,F,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,12,Monday,0,Afternoon,0,1080.0,1,0,19,1.2246467991473532e-16,-1.0
West Valley,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),61,F,B,PARKING LOT,undefined,Invest Cont,15,Wednesday,0,Afternoon,0,96.0,7,0,3,-0.7071067811865471,-0.7071067811865479
Foothill,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",29,M,H,"VEHICLE, PASSENGER/TRUCK",undefined,Invest Cont,10,Sunday,1,Morning,0,48.0,4,0,8,0.49999999999999994,-0.8660254037844387
Topanga,BATTERY - SIMPLE ASSAULT,61,M,W,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,11,Thursday,0,Morning,0,0.0,7,1,16,0.258819045102521,-0.9659258262890682
Wilshire,BURGLARY FROM VEHICLE,24,M,W,PARKING LOT,undefined,Invest Cont,16,Friday,0,Afternoon,0,0.0,12,0,12,-0.8660254037844385,-0.5000000000000004
Central,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",46,F,B,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,18,Wednesday,0,Evening,0,0.0,4,0,9,-1.0,-1.8369701987210297e-16
Newton,DISCHARGE FIREARMS/SHOTS FIRED,27,F,H,STREET,SEMI-AUTOMATIC PISTOL,Invest Cont,0,Friday,0,Night,1,0.0,4,1,0,0.0,1.0
Van Nuys,THEFT PLAIN - PETTY ($950 & UNDER),58,M,W,RESTAURANT/FAST FOOD,undefined,Invest Cont,14,Friday,0,Afternoon,0,72.0,2,0,11,-0.4999999999999997,-0.8660254037844388
N Hollywood,CRIMINAL THREATS - NO WEAPON DISPLAYED,47,F,W,AUTOMATED TELLER MACHINE (ATM),VERBAL THREAT,Adult Arrest,17,Monday,0,Afternoon,0,24.0,7,0,8,-0.9659258262890683,-0.25881904510252063
Southwest,INTIMATE PARTNER - SIMPLE ASSAULT,25,F,H,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,8,Tuesday,0,Morning,0,192.0,5,0,0,0.8660254037844387,-0.4999999999999998
Pacific,THEFT PLAIN - PETTY ($950 & UNDER),50,F,W,TRANSPORTATION FACILITY (AIRPORT),UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,23,Tuesday,0,Night,1,432.0,6,0,4,-0.25881904510252157,0.9659258262890681
Central,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",33,M,W,ALLEY,undefined,Invest Cont,0,Sunday,1,Night,1,0.0,2,0,9,0.0,1.0
Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",21,M,H,STREET,HAND GUN,Invest Cont,22,Thursday,0,Night,1,0.0,11,0,14,-0.5000000000000004,0.8660254037844384
Southwest,VANDALISM - MISDEAMEANOR ($399 OR UNDER),41,F,H,"VEHICLE, PASSENGER/TRUCK",PIPE/METAL PIPE,Invest Cont,8,Saturday,1,Morning,0,0.0,3,0,0,0.8660254037844387,-0.4999999999999998
Newton,THEFT OF IDENTITY,37,F,B,CYBERSPACE,undefined,Invest Cont,0,Thursday,0,Night,1,0.0,9,0,0,0.0,1.0
Central,BURGLARY FROM VEHICLE,30,F,H,STREET,undefined,Invest Cont,16,Sunday,1,Afternoon,0,72.0,9,0,9,-0.8660254037844385,-0.5000000000000004
Southeast,LEWD CONDUCT,38,F,H,LIBRARY,undefined,Invest Cont,10,Tuesday,0,Morning,0,48.0,6,0,13,0.49999999999999994,-0.8660254037844387
Hollywood,BURGLARY FROM VEHICLE,32,M,B,STREET,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,22,Monday,0,Night,1,48.0,7,0,6,-0.5000000000000004,0.8660254037844384
West LA,THEFT OF IDENTITY,55,F,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,12,Wednesday,0,Afternoon,0,96.0,1,0,12,1.2246467991473532e-16,-1.0
Hollenbeck,"ASSAULT WITH DEADLY WEAPON, AGGRAVATED ASSAULT",16,M,H,STREET,UNKNOWN FIREARM,Invest Cont,20,Tuesday,0,Evening,0,0.0,12,0,14,-0.8660254037844386,0.5000000000000001
Northeast,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),37,M,H,STREET,undefined,Invest Cont,0,Tuesday,0,Night,1,0.0,11,0,14,0.0,1.0
Hollenbeck,VANDALISM - MISDEAMEANOR ($399 OR UNDER),27,F,H,PARKING LOT,undefined,Invest Cont,15,Friday,0,Afternoon,0,24.0,7,1,14,-0.7071067811865471,-0.7071067811865479
West LA,VANDALISM - MISDEAMEANOR ($399 OR UNDER),77,F,W,STREET,undefined,Invest Cont,12,Wednesday,0,Afternoon,0,24.0,2,0,10,1.2246467991473532e-16,-1.0
77th Street,BATTERY - SIMPLE ASSAULT,63,M,B,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,0,Monday,0,Night,1,0.0,10,1,0,0.0,1.0
West LA,THEFT FROM MOTOR VEHICLE - PETTY ($950 & UNDER),57,M,W,DRIVEWAY,undefined,Invest Cont,4,Sunday,1,Night,1,0.0,1,0,10,0.8660254037844386,0.5000000000000001
Southwest,"THEFT-GRAND ($950.01 & OVER)EXCPT,GUNS,FOWL,LIVESTK,PROD",50,F,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,13,Tuesday,0,Afternoon,0,1584.0,6,0,0,-0.2588190451025208,-0.9659258262890683
N Hollywood,BURGLARY FROM VEHICLE,31,M,W,YARD (RESIDENTIAL/BUSINESS),undefined,Invest Cont,23,Friday,0,Night,1,24.0,7,0,8,-0.25881904510252157,0.9659258262890681
Topanga,BURGLARY FROM VEHICLE,30,F,O,DRIVEWAY,undefined,Invest Cont,12,Friday,0,Afternoon,0,72.0,9,0,7,1.2246467991473532e-16,-1.0
77th Street,INTIMATE PARTNER - SIMPLE ASSAULT,26,M,B,SIDEWALK,UNKNOWN WEAPON/OTHER WEAPON,Adult Other,13,Wednesday,0,Afternoon,0,0.0,11,0,0,-0.2588190451025208,-0.9659258262890683
Southwest,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",50,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,18,Thursday,0,Evening,0,0.0,1,0,12,-1.0,-1.8369701987210297e-16
Newton,VANDALISM - MISDEAMEANOR ($399 OR UNDER),27,F,H,"VEHICLE, PASSENGER/TRUCK",undefined,Invest Cont,20,Sunday,1,Evening,0,0.0,5,0,0,-0.8660254037844386,0.5000000000000001
Devonshire,"LETTERS, LEWD  -  TELEPHONE CALLS, LEWD",38,F,O,SINGLE FAMILY DWELLING,undefined,Invest Cont,18,Sunday,1,Evening,0,624.0,10,0,15,-1.0,-1.8369701987210297e-16
Southwest,BATTERY - SIMPLE ASSAULT,55,M,H,DRIVEWAY,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,17,Friday,0,Afternoon,0,0.0,1,0,0,-0.9659258262890683,-0.25881904510252063
Central,ORAL COPULATION,22,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,3,Sunday,1,Night,1,24.0,4,0,9,0.7071067811865476,0.7071067811865476
Newton,BATTERY - SIMPLE ASSAULT,32,M,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,0,Saturday,1,Night,1,0.0,12,1,0,0.0,1.0
Southwest,THEFT OF IDENTITY,25,M,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,17,Sunday,1,Afternoon,0,0.0,9,0,12,-0.9659258262890683,-0.25881904510252063
Mission,BURGLARY FROM VEHICLE,37,M,H,PARKING LOT,undefined,Invest Cont,18,Monday,0,Evening,0,888.0,2,1,2,-1.0,-1.8369701987210297e-16
Hollywood,BURGLARY FROM VEHICLE,24,M,H,PARKING LOT,undefined,Invest Cont,15,Thursday,0,Afternoon,0,0.0,7,0,6,-0.7071067811865471,-0.7071067811865479
Wilshire,THEFT FROM MOTOR VEHICLE - GRAND ($950.01 AND OVER),29,M,H,STREET,undefined,Invest Cont,3,Monday,0,Night,1,192.0,12,1,12,0.7071067811865476,0.7071067811865476
Central,BATTERY - SIMPLE ASSAULT,20,F,H,MTA - BLUE LINE - GRAND/LATTC,UNKNOWN WEAPON/OTHER WEAPON,Invest Cont,13,Thursday,0,Afternoon,0,0.0,11,1,9,-0.2588190451025208,-0.9659258262890683
Topanga,TRESPASSING,0,M,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,10,Friday,0,Morning,0,120.0,7,0,16,0.49999999999999994,-0.8660254037844387
West LA,OTHER MISCELLANEOUS CRIME,0,M,O,SINGLE FAMILY DWELLING,undefined,Invest Cont,11,Thursday,0,Morning,0,0.0,10,0,12,0.258819045102521,-0.9659258262890682
Topanga,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",62,F,O,"VEHICLE, PASSENGER/TRUCK",undefined,Invest Cont,14,Saturday,1,Afternoon,0,24.0,2,0,7,-0.4999999999999997,-0.8660254037844388
Hollenbeck,THEFT PLAIN - PETTY ($950 & UNDER),56,M,H,PARKING LOT,undefined,Invest Cont,20,Thursday,0,Evening,0,0.0,8,0,9,-0.8660254037844386,0.5000000000000001
Hollenbeck,BURGLARY FROM VEHICLE,30,F,H,PARKING LOT,undefined,Invest Cont,22,Friday,0,Night,1,24.0,3,0,9,-0.5000000000000004,0.8660254037844384
Central,SHOPLIFTING - PETTY THEFT ($950 & UNDER),26,M,H,DEPARTMENT STORE,undefined,Invest Cont,19,Sunday,1,Evening,0,48.0,7,0,9,-0.9659258262890684,0.2588190451025203
Central,ROBBERY,66,M,B,SIDEWALK,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Invest Cont,2,Sunday,1,Night,1,48.0,9,1,9,0.49999999999999994,0.8660254037844387
Harbor,BURGLARY FROM VEHICLE,69,M,H,STREET,undefined,Invest Cont,16,Saturday,1,Afternoon,0,24.0,8,0,5,-0.8660254037844385,-0.5000000000000004
Olympic,BATTERY - SIMPLE ASSAULT,32,M,B,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,17,Thursday,0,Afternoon,0,0.0,10,0,6,-0.9659258262890683,-0.25881904510252063
Van Nuys,INTIMATE PARTNER - AGGRAVATED ASSAULT,36,F,H,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,9,Saturday,1,Morning,0,24.0,11,0,11,0.7071067811865476,-0.7071067811865475
