AREA NAME,Crm Cd Desc,Vict Age,Vict Sex,Vict Descent,Premis Desc,Weapon Desc,Status Desc,Hour,DayOfWeek,IsWeekend,TimeOfDay,IsNight,TimeToReport_Hours,Occ_Month,Has_Cross_Street_np,Location_Cluster,Hour_Sin,Hour_Cos
Pacific,THEFT PLAIN - PETTY ($950 & UNDER),63,M,O,TRANSPORTATION FACILITY (AIRPORT),undefined,Adult Other,16,Saturday,1,Afternoon,0,0.0,3,0,4,-0.8660254037844385,-0.5000000000000004
N Hollywood,BURGLARY,33,M,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,18,Tuesday,0,Evening,0,24.0,5,0,8,-1.0,-1.8369701987210297e-16
N Hollywood,CRIMINAL THREATS - NO WEAPON DISPLAYED,33,M,O,SINGLE FAMILY DWELLING,VERBAL THREAT,Invest Cont,14,Saturday,1,Afternoon,0,48.0,7,0,11,-0.4999999999999997,-0.8660254037844388
N Hollywood,BATTERY - SIMPLE ASSAULT,36,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,0,Wednesday,0,Night,1,0.0,3,0,8,0.0,1.0
West LA,THEFT OF IDENTITY,22,M,O,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,8,Sunday,1,Morning,0,15072.0,1,0,10,0.8660254037844387,-0.4999999999999998
Central,BURGLARY FROM VEHICLE,29,F,W,GARAGE/CARPORT,undefined,Invest Cont,15,Tuesday,0,Afternoon,0,24.0,10,0,9,-0.7071067811865471,-0.7071067811865479
Hollenbeck,THEFT PLAIN - PETTY ($950 & UNDER),36,M,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,15,Sunday,1,Afternoon,0,0.0,2,0,9,-0.7071067811865471,-0.7071067811865479
Hollywood,INTIMATE PARTNER - SIMPLE ASSAULT,28,F,W,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)","STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,4,Sunday,1,Night,1,0.0,3,0,6,0.8660254037844386,0.5000000000000001
Harbor,BURGLARY FROM VEHICLE,78,F,B,STREET,undefined,Invest Cont,10,Thursday,0,Morning,0,0.0,12,0,5,0.49999999999999994,-0.8660254037844387
Harbor,"BUNCO, GRAND THEFT",69,F,W,SINGLE FAMILY DWELLING,undefined,Invest Cont,12,Friday,0,Afternoon,0,144.0,2,0,5,1.2246467991473532e-16,-1.0
Rampart,THEFT OF IDENTITY,34,F,B,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,12,Monday,0,Afternoon,0,96.0,1,0,6,1.2246467991473532e-16,-1.0
Rampart,THEFT OF IDENTITY,25,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,10,Tuesday,0,Morning,0,0.0,8,0,9,0.49999999999999994,-0.8660254037844387
Topanga,THEFT OF IDENTITY,75,F,H,"MULTI-UNIT DWELLING (APARTMENT, DUPLEX, ETC)",undefined,Invest Cont,11,Wednesday,0,Morning,0,672.0,7,0,16,0.258819045102521,-0.9659258262890682
Wilshire,"VANDALISM - FELONY ($400 & OVER, ALL CHURCH VANDALISMS)",43,F,W,"VEHICLE, PASSENGER/TRUCK",undefined,Invest Cont,16,Sunday,1,Afternoon,0,96.0,6,1,12,-0.8660254037844385,-0.5000000000000004
Harbor,BATTERY - SIMPLE ASSAULT,35,F,H,SINGLE FAMILY DWELLING,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Arrest,17,Saturday,1,Afternoon,0,0.0,4,0,5,-0.9659258262890683,-0.25881904510252063
Northeast,INTIMATE PARTNER - SIMPLE ASSAULT,24,F,H,STREET,"STRONG-ARM (HANDS, FIST, FEET OR BODILY FORCE)",Adult Other,8,Thursday,0,Morning,0,0.0,8,1,14,0.8660254037844387,-0.4999999999999998
Southwest,THEFT PLAIN - PETTY ($950 & UNDER),20,M,O,STREET,undefined,Invest Cont,15,Wednesday,0,Afternoon,0,24.0,8,0,0,-0.7071067811865471,-0.7071067811865479
Southeast,INTIMATE PARTNER - AGGRAVATED ASSAULT,51,F,B,SINGLE FAMILY DWELLING,HAND GUN,Adult Other,11,Monday,0,Morning,0,24.0,11,0,13,0.258819045102521,-0.9659258262890682
